objectid,title,format,filename,date,subject,location,latitude,longitude,description
item1,Bridge to 3rd Sister Island,image/jpeg,n6.jpg,1860,bridge; 3rd Sister Island,Niagara,43.0785,-79.0659,"A photograph by George E. Curtis with the caption that reads: ""Bridge to 3rd Sister Island Niagara"". "
item2,Scenery near Streets Island,image/jpeg,n7.jpg,1860,snow; tree;photo,Niagara,43.0869,-79.0687,"A photograph by George E. Curtis with the caption that reads: ""Scenery near Streets Island Niagara"".?"
item3,Statue tree,image/jpeg,n2.jpg,1860,statue; snow,Niagara,43.0869,-79.0687,"A photograph by George E. Curtis with the caption that reads: ""Statue Tree Niagara"".?"
item4,American Fall from below,image/jpeg,n12.jpg,1860,Niagara Falls; icicles; rocks,Niagara,43.08308,-79.0741,"A photograph by George E. Curtis with the caption that reads: ""American Fall from below Niagara""."
item5,The old man of Niagara,image/jpeg,n3.jpg,1860,Niagara Falls£» footprints,Niagara,43.08308,-79.0741,"A photograph by George E. Curtis with the caption that reads: ""The Old Man of Niagara""."
item6,Pathway leading under the Horseshoe Fall,image/jpeg,n4.jpg,1860,Icicles; Horseshoe Falls,Niagara,43.0773,-79.0753,"A photograph by George E. Curtis with the caption that reads: ""Pathway leading under the Horseshoe Fall Niagara""."
item7,Cave in Luna Island ice mountain,image/jpeg,n9.jpg,1860,Luna Island;  ice cave,Niagara,43.0835,-79.0704,"A photograph by George E. Curtis with the caption that reads: ""Cafe in Luna Island Ice Mountain Niagara"".?"
item8,Horseshoe Fall from Goat Island,image/jpeg,n8.jpg,1860,Horseshoe Falls; watchtower; Goat Island,Niagara,43.0807,-79.0675,"A photograph by George E. Curtis with the caption that reads: ""Horse shoe Fall from Goat Island Niagara"".?"
item9,"Henry Bellini, tightrope walker, prepares to cross the Falls",image/jpeg,n10.jpg,1860,Niagara Falls; man; wire,Niagara,43.08303,-79.07406,A photograph by George E. Curtis with no caption. This photograph is of Henry Bellini who came in August of 1873 to cross Niagara Falls on a tightrope. He appears to be preparing to cross.
item10,"Henry Bellini, tightrope walker, prepares to fall into the waters below the Falls",image/jpeg,n11.jpg,1860,"Niagara Falls; Men, lifeboats",Niagara,43.08303,-79.07406,A photograph by George E. Curtis with no caption. This photograph is of Henry Bellini preparing to fall into the waters below the Falls.
item11,New suspension bridge showing Falls,image/jpeg,n5.jpg,1860,Niagara Falls; bridge,Niagara,43.0903,-79.0675,"A photograph by George E. Curtis with the caption that reads: ""New Suspension Bridge Showing Falls Niagara"".?"
item12,"American and Horseshoe Falls, spring or fall",image/jpeg,n1.jpg,1870,Horseshoe Falls; shrubs,Niagara,43.0774,-79.0751,A photograph by George E. Curtis with no caption. The image is of the American and Horseshoe Falls in the Spring or Fall.
